Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"29/05/20, 10:43","C Oordinator",-,"Course: Junior Mathematics",Logs,"Log report viewed","The user with id '103' viewed the log report for the course with id '8'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:21","Admin User",-,"Course: Junior Mathematics",System,"Course viewed","The user with id '2' viewed the course with id '8'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:05","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"The status of the submission has been viewed.","The user with id '118' has viewed the submission status page for the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:05","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"Course module viewed","The user with id '118' viewed the 'assign' activity with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"The status of the submission has been viewed.","The user with id '118' has viewed the submission status page for the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"Course module viewed","The user with id '118' viewed the 'assign' activity with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"A submission has been submitted.","The user with id '118' has submitted the submission with id '7' for the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner","Barbara Gardner","Assignment: Tell me what you have learned so far.","Online text submissions","Submission updated.","The user with id '118' updated an online text submission with '5' words in the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.","Online text submissions","An online text has been uploaded.","The user with id '118' has saved an online text submission with id '7' in the assignment activity with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"Course module viewed","The user with id '118' viewed the 'assign' activity with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner","Barbara Gardner","Assignment: Tell me what you have learned so far.",Assignment,"Submission form viewed.","The user with id '118' viewed their submission for the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"Course module viewed","The user with id '118' viewed the 'assign' activity with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner","Barbara Gardner","Assignment: Tell me what you have learned so far.",Assignment,"Submission form viewed.","The user with id '118' viewed their submission for the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"Course module viewed","The user with id '118' viewed the 'assign' activity with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"The status of the submission has been viewed.","The user with id '118' has viewed the submission status page for the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"Course module viewed","The user with id '118' viewed the 'assign' activity with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner","Barbara Gardner","Course: Junior Mathematics","User report","Grade user report viewed","The user with id '118' viewed the user report in the gradebook.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User as Barbara Gardner",-,"Course: Junior Mathematics",System,"Course viewed","The user with id '118' viewed the course with id '8'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:03","Admin User","Barbara Gardner","Course: Junior Mathematics",System,"User profile viewed","The user with id '2' viewed the profile for the user with id '118' in the course with id '8'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:02","Admin User",-,"Course: Junior Mathematics",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '8'.",web,0:0:0:0:0:0:0:1
"28/05/20, 17:02","Admin User",-,"Course: Junior Mathematics",System,"Course viewed","The user with id '2' viewed the course with id '8'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:58","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"The status of the submission has been viewed.","The user with id '118' has viewed the submission status page for the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:58","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"Course module viewed","The user with id '118' viewed the 'assign' activity with course module id '106'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:58","Admin User as Barbara Gardner",-,"Assignment: Tell me what you have learned so far.",Assignment,"A submission has been submitted.","The user with id '118' has submitted the submission with id '7' for the assignment with course module id '106'.",web,0:0:0:0:0:0:0:1
