Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"29/05/20, 10:43","C Oordinator",-,"Course:  Revision: Chemistry",Logs,"Log report viewed","The user with id '103' viewed the log report for the course with id '7'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:21","Admin User",-,"Course:  Revision: Chemistry",System,"Course viewed","The user with id '2' viewed the course with id '7'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:53","Admin User",-,"Course:  Revision: Chemistry",System,"Course viewed","The user with id '2' viewed the course with id '7'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:52","Admin User",-,"Course:  Revision: Chemistry","Grader report","Grader report viewed","The user with id '2' viewed the grader report in the gradebook.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:52","Admin User",-,"External tool: Chemvantage Atoms and Elements Quiz","External tool","Course module viewed","The user with id '2' viewed the 'lti' activity with course module id '92'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:52","Admin User",-,"Course:  Revision: Chemistry",System,"Course viewed","The user with id '2' viewed the course with id '7'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:27","Admin User as Anna Alexander",-,"Quiz: Balancing Chemical  Equations (Rob Bright)",Quiz,"Course module viewed","The user with id '120' viewed the 'quiz' activity with course module id '94'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:27","Admin User as Anna Alexander","Anna Alexander","Quiz: Balancing Chemical  Equations (Rob Bright)",Quiz,"Quiz attempt reviewed","The user with id '120' has had their attempt with id '7' reviewed by the user with id '120' for the quiz with course module id '94'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:27","Admin User as Anna Alexander","Anna Alexander","Quiz: Balancing Chemical  Equations (Rob Bright)",Quiz,"Quiz attempt submitted","The user with id '120' has submitted the attempt with id '7' for the quiz with course module id '94'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:27","Admin User as -","Anna Alexander","Course:  Revision: Chemistry",System,"User graded","The user with id '-1' updated the grade with id '23' for the user with id '120' for the grade item with id '16'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:27","Admin User as Anna Alexander","Anna Alexander","Course:  Revision: Chemistry",System,"User graded","The user with id '120' updated the grade with id '22' for the user with id '120' for the grade item with id '18'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:27","Admin User as Anna Alexander","Anna Alexander","Quiz: Balancing Chemical  Equations (Rob Bright)",Quiz,"Quiz attempt summary viewed","The user with id '120' has viewed the summary for the attempt with id '7' belonging to the user with id '120' for the quiz with course module id '94'.",web,0:0:0:0:0:0:0:1
