Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"29/05/20, 10:42","C Oordinator",-,"Course: Algebra",Logs,"Log report viewed","The user with id '103' viewed the log report for the course with id '3'.",web,0:0:0:0:0:0:0:1
"29/05/20, 10:22","Admin User",-,"Course: Algebra",System,"Course viewed","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"28/05/20, 16:53","Admin User",-,"Course: Algebra",System,"Course viewed","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:55","Admin User",-,"Course: Algebra",System,"User list viewed","The user with id '2' viewed the list of users in the course with id '3'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:35","Admin User","Ava Wilson","Assignment: Assignment 1",Assignment,"Grading form viewed","The user with id '2' viewed the grading form for the user with id '3' for the assignment with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:35","Admin User","Ava Wilson","Assignment: Assignment 1",Assignment,"The submission has been graded.","The user with id '2' has graded the submission '1' for the user with id '3' for the assignment with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:35","Admin User","Ava Wilson","Assignment: Assignment 1",Assignment,"Grading form viewed","The user with id '2' viewed the grading form for the user with id '3' for the assignment with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:35","Admin User","Ava Wilson","Assignment: Assignment 1",Assignment,"The submission has been graded.","The user with id '2' has graded the submission '1' for the user with id '3' for the assignment with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:35",-,"Ava Wilson","Course: Algebra",System,"User graded","The user with id '-1' updated the grade with id '2' for the user with id '3' for the grade item with id '12'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:35","Admin User","Ava Wilson","Course: Algebra",System,"User graded","The user with id '2' updated the grade with id '1' for the user with id '3' for the grade item with id '13'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:34","Admin User","Ava Wilson","Assignment: Assignment 1",Assignment,"Grading form viewed","The user with id '2' viewed the grading form for the user with id '3' for the assignment with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:34","Admin User",-,"Assignment: Assignment 1",Assignment,"Grading table viewed","The user with id '2' viewed the grading table for the assignment with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:34","Admin User",-,"Assignment: Assignment 1",Assignment,"Course module viewed","The user with id '2' viewed the 'assign' activity with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:34","Admin User",-,"Assignment: Assignment 1",Assignment,"The status of the submission has been viewed.","The user with id '2' has viewed the submission status page for the assignment with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:34","Admin User",-,"Assignment: Assignment 1",Assignment,"Course module viewed","The user with id '2' viewed the 'assign' activity with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:34","Admin User",-,"Course: Algebra",System,"Course viewed","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:34","Admin User as Ava Wilson",-,"Assignment: Assignment 1",Assignment,"The status of the submission has been viewed.","The user with id '3' has viewed the submission status page for the assignment with course module id '65'.",web,0:0:0:0:0:0:0:1
"28/05/20, 10:34","Admin User as Ava Wilson",-,"Assignment: Assignment 1",Assignment,"Course module viewed","The user with id '3' viewed the 'assign' activity with course module id '65'.",web,0:0:0:0:0:0:0:1
